ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,TIPOSUPPLENZA,FASCIAETA,DOCENTISUPPLENTIMASCHI,DOCENTISUPPLENTIFEMMINE
201617,CAMPOBASSO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,3
201617,AREZZO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,3,52
201617,CAGLIARI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,13,35
201617,VERBANO-CUSIO-OSSOLA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,2
201617,COMO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,11,18
201617,MONZA E BRIANZA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 35 E 44,0,9
201617,MODENA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,16,30
201617,PARMA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,3
201617,AVELLINO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,1,0
201617,VERBANO-CUSIO-OSSOLA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,2,1
201617,MANTOVA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,5
201617,TRIESTE,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,14,18
201617,TREVISO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,64,72
201617,TORINO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,32
201617,BARI,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,79,140
201617,PESCARA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,5
201617,CHIETI,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 45 E 54,1,1
201617,TREVISO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,17,78
201617,PISA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,1,18
201617,ASCOLI PICENO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,1,4
201617,PALERMO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,1,21
201617,ALESSANDRIA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,TRA 45 E 54,0,5
201617,LECCO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,16
201617,BERGAMO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,28
201617,GROSSETO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,25
201617,VIBO VALENTIA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,1
201617,BARLETTA-ADRIA-TRANI,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,1
201617,LUCCA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,3,59
201617,TERNI,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,5
201617,MESSINA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,11
201617,VERONA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 45 E 54,0,2
201617,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,6,16
201617,VENEZIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,2,4
201617,GORIZIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,4
201617,POTENZA,SCUOLA INFANZIA,NORMALE,ANNUALE,FINO A 34,0,1
201617,PRATO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,2,50
201617,TORINO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,1,0
201617,L'AQUILA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,2,0
201617,LA SPEZIA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,2
201617,CHIETI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,12,35
201617,COMO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,FINO A 34,0,3
201617,LECCO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 35 E 44,2,6
201617,SALERNO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,1,1
201617,PORDENONE,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,8
201617,CREMONA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,11,8
201617,BERGAMO,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,TRA 45 E 54,4,21
201617,GENOVA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,TRA 35 E 44,0,2
201617,AVELLINO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,14,38
201617,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,OLTRE 54,1,0
